TIME, BPLP, STATE, REGIONTYPE, REGION, FREQUENCY, MEASURE_3
"2006","2100","1","SA2","112031252","A",426
"2006","2100","1","SA2","112031253","A",584
"2006","2100","1","SA2","112031254","A",1460
"2006","2100","1","SA2","112031255","A",2081
"2006","2100","1","SA2","113011256","A",202
"2006","2100","1","SA2","113011257","A",198
"2006","2100","1","SA2","113011258","A",146
"2006","2100","1","SA2","113011259","A",107
"2006","2100","1","SA2","113021260","A",118
"2006","2100","1","SA2","113021261","A",135
"2006","2100","1","SA2","113021262","A",113
"2006","2100","1","SA2","113031263","A",174
"2006","2100","1","SA2","113031264","A",43
"2006","2100","1","SA2","113031265","A",95
"2006","2100","1","SA2","113031266","A",102
"2006","2100","1","SA2","113031267","A",296
"2006","2100","1","SA2","113031268","A",50
"2006","2100","1","SA2","113031269","A",321
"2006","2100","1","SA2","113031270","A",282
"2006","2100","1","SA2","113031271","A",252
"2006","2100","1","SA2","114011272","A",706
"2006","2100","1","SA2","114011273","A",190
"2006","2100","1","SA2","114011274","A",239
"2006","2100","1","SA2","114011275","A",0
"2006","2100","1","SA2","114011276","A",212
"2006","2100","1","SA2","114011277","A",959
"2006","2100","1","SA2","114011278","A",771
"2006","2100","1","SA2","114011279","A",800
"2006","2100","1","SA2","114011280","A",292
"2006","2100","1","SA2","114011281","A",140
"2006","2100","1","SA2","114011282","A",795
"2006","2100","1","SA2","114011283","A",265
"2006","2100","1","SA2","114021284","A",943
"2006","2100","1","SA2","114021285","A",396
"2006","2100","1","SA2","114021286","A",482
"2006","2100","1","SA2","114021287","A",440
"2006","2100","1","SA2","114021288","A",217
"2006","2100","1","SA2","114021289","A",396
"2006","2100","1","SA2","115011290","A",888
"2006","2100","1","SA2","115011291","A",776
"2006","2100","1","SA2","115011292","A",1335
"2006","2100","1","SA2","115011293","A",1346
"2006","2100","1","SA2","115011294","A",346
"2006","2100","1","SA2","115011295","A",854
"2006","2100","1","SA2","115011296","A",545
"2006","2100","1","SA2","115021297","A",1075
"2006","2100","1","SA2","115021298","A",319
"2006","2100","1","SA2","115031299","A",141
"2006","2100","1","SA2","115031300","A",1102
"2006","2100","1","SA2","115041301","A",373
"2006","2100","1","SA2","115041302","A",668
"2006","2100","1","SA2","116011303","A",391
"2006","2100","1","SA2","116011304","A",528
"2006","2100","1","SA2","116011305","A",613
"2006","2100","1","SA2","116011306","A",362
"2006","2100","1","SA2","116011307","A",956
"2006","2100","1","SA2","116011308","A",637
"2006","2100","1","SA2","116021309","A",373
"2006","2100","1","SA2","116021310","A",379
"2006","2100","1","SA2","116021311","A",783
"2006","2100","1","SA2","116021312","A",336
"2006","2100","1","SA2","116031313","A",577
"2006","2100","1","SA2","116031314","A",130
"2006","2100","1","SA2","116031315","A",370
"2006","2100","1","SA2","116031316","A",548
"2006","2100","1","SA2","116031317","A",437
"2006","2100","1","SA2","116031318","A",0
"2006","2100","1","SA2","116031319","A",439
"2006","2100","1","SA2","117011320","A",0
"2006","2100","1","SA2","117011321","A",318
"2006","2100","1","SA2","117011322","A",376
"2006","2100","1","SA2","117011323","A",311
"2006","2100","1","SA2","117011324","A",0
"2006","2100","1","SA2","117011325","A",0
"2006","2100","1","SA2","117021326","A",704
"2006","2100","1","SA2","117021327","A",857
"2006","2100","1","SA2","117021328","A",274
"2006","2100","1","SA2","117031329","A",579
"2006","2100","1","SA2","117031330","A",759
"2006","2100","1","SA2","117031331","A",858
"2006","2100","1","SA2","117031332","A",1087
"2006","2100","1","SA2","117031333","A",1345
"2006","2100","1","SA2","117031334","A",789
"2006","2100","1","SA2","117031335","A",717
"2006","2100","1","SA2","117031336","A",911
"2006","2100","1","SA2","117031337","A",892
"2006","2100","1","SA2","117031338","A",539
"2006","2100","1","SA2","118011339","A",1185
"2006","2100","1","SA2","118011340","A",1290
"2006","2100","1","SA2","118011341","A",1037
"2006","2100","1","SA2","118011342","A",0
"2006","2100","1","SA2","118011343","A",1333
"2006","2100","1","SA2","118011344","A",410
"2006","2100","1","SA2","118011345","A",1392
"2006","2100","1","SA2","118011346","A",681
"2006","2100","1","SA2","118011347","A",491
"2006","2100","1","SA2","118021348","A",1853
"2006","2100","1","SA2","118021349","A",618
"2006","2100","1","SA2","118021350","A",829
"2006","2100","1","SA2","118021351","A",993
"2006","2100","1","SA2","118021352","A",1721
"2006","2100","1","SA2","119011353","A",182
"2006","2100","1","SA2","119011354","A",347
"2006","2100","1","SA2","119011355","A",0
"2006","2100","1","SA2","119011356","A",116
"2006","2100","1","SA2","119011357","A",232
"2006","2100","1","SA2","119011358","A",345
"2006","2100","1","SA2","119011359","A",717
"2006","2100","1","SA2","119011360","A",283
"2006","2100","1","SA2","119011361","A",238
"2006","2100","1","SA2","119021362","A",188
"2006","2100","1","SA2","119021363","A",200
"2006","2100","1","SA2","119021364","A",323
"2006","2100","1","SA2","119021365","A",149
"2006","2100","1","SA2","119021366","A",131
"2006","2100","1","SA2","119021367","A",153
"2006","2100","1","SA2","119031368","A",202
"2006","2100","1","SA2","119031369","A",621
"2006","2100","1","SA2","119031370","A",203
"2006","2100","1","SA2","119031371","A",345
"2006","2100","1","SA2","119031372","A",480
"2006","2100","1","SA2","119031373","A",153
"2006","2100","1","SA2","119031374","A",446
"2006","2100","1","SA2","119041375","A",265
"2006","2100","1","SA2","119041376","A",414
"2006","2100","1","SA2","119041377","A",168
"2006","2100","1","SA2","119041378","A",206
"2006","2100","1","SA2","119041379","A",259
"2006","2100","1","SA2","119041380","A",306
"2006","2100","1","SA2","119041381","A",282
"2006","2100","1","SA2","119041382","A",450
"2006","2100","1","SA2","120011383","A",454
"2006","2100","1","SA2","120011384","A",370
"2006","2100","1","SA2","120011385","A",690
"2006","2100","1","SA2","120011386","A",695
"2006","2100","1","SA2","120021387","A",1478
"2006","2100","1","SA2","120021388","A",1360
"2006","2100","1","SA2","120021389","A",1084
"2006","2100","1","SA2","120031390","A",518
"2006","2100","1","SA2","120031391","A",348
"2006","2100","1","SA2","120031392","A",239
"2006","2100","1","SA2","120031393","A",318
"2006","2100","1","SA2","120031394","A",552
"2006","2100","1","SA2","120031395","A",488
"2006","2100","1","SA2","120031396","A",110
"2006","2100","1","SA2","120031397","A",338
"2006","2100","1","SA2","121011398","A",828
"2006","2100","1","SA2","121011399","A",833
"2006","2100","1","SA2","121011400","A",1423
"2006","2100","1","SA2","121011401","A",460
"2006","2100","1","SA2","121011402","A",1294
"2006","2100","1","SA2","121021403","A",1245
"2006","2100","1","SA2","121021404","A",885
"2006","2100","1","SA2","121021405","A",1431
"2006","2100","1","SA2","121021406","A",963
"2006","2100","1","SA2","121031407","A",997
"2006","2100","1","SA2","121031408","A",1221
"2006","2100","1","SA2","121031409","A",952
"2006","2100","1","SA2","121031410","A",1293
"2006","2100","1","SA2","121031411","A",1329
"2006","2100","1","SA2","121031412","A",1208
"2006","2100","1","SA2","121041413","A",1385
"2006","2100","1","SA2","121041414","A",1063
"2006","2100","1","SA2","121041415","A",2589
"2006","2100","1","SA2","121041416","A",1389
"2006","2100","1","SA2","121041417","A",685
"2006","2100","1","SA2","122011418","A",1682
"2006","2100","1","SA2","122011419","A",2360
"2006","2100","1","SA2","122021420","A",1151
"2006","2100","1","SA2","122021421","A",922
"2006","2100","1","SA2","122021422","A",1040
"2006","2100","1","SA2","122021423","A",1575
"2006","2100","1","SA2","122031424","A",795
"2006","2100","1","SA2","122031425","A",550
"2006","2100","1","SA2","122031426","A",1292
"2006","2100","1","SA2","122031427","A",871
"2006","2100","1","SA2","122031428","A",1953
"2006","2100","1","SA2","122031429","A",1554
