TIME, BPLP, STATE, REGIONTYPE, REGION, FREQUENCY, MEASURE_3
"2001","2100","1","SA2","116011307","A",1121
"2001","2100","1","SA2","116011308","A",822
"2001","2100","1","SA2","116021309","A",346
"2001","2100","1","SA2","116021310","A",212
"2001","2100","1","SA2","116021311","A",869
"2001","2100","1","SA2","116021312","A",430
"2001","2100","1","SA2","116031313","A",750
"2001","2100","1","SA2","116031314","A",163
"2001","2100","1","SA2","116031315","A",471
"2001","2100","1","SA2","116031316","A",707
"2001","2100","1","SA2","116031317","A",543
"2001","2100","1","SA2","116031318","A",0
"2001","2100","1","SA2","116031319","A",492
"2001","2100","1","SA2","117011320","A",0
"2001","2100","1","SA2","117011321","A",286
"2001","2100","1","SA2","117011322","A",401
"2001","2100","1","SA2","117011323","A",333
"2001","2100","1","SA2","117011324","A",0
"2001","2100","1","SA2","117011325","A",0
"2001","2100","1","SA2","117021326","A",667
"2001","2100","1","SA2","117021327","A",873
"2001","2100","1","SA2","117021328","A",211
"2001","2100","1","SA2","117031329","A",616
"2001","2100","1","SA2","117031330","A",585
"2001","2100","1","SA2","117031331","A",821
"2001","2100","1","SA2","117031332","A",1226
"2001","2100","1","SA2","117031333","A",1281
"2001","2100","1","SA2","117031334","A",688
"2001","2100","1","SA2","117031335","A",684
"2001","2100","1","SA2","117031336","A",856
"2001","2100","1","SA2","117031337","A",829
"2001","2100","1","SA2","117031338","A",301
"2001","2100","1","SA2","118011339","A",1237
"2001","2100","1","SA2","118011340","A",1402
"2001","2100","1","SA2","118011341","A",1058
"2001","2100","1","SA2","118011342","A",0
"2001","2100","1","SA2","118011343","A",1368
"2001","2100","1","SA2","118011344","A",466
"2001","2100","1","SA2","118011345","A",1315
"2001","2100","1","SA2","118011346","A",639
"2001","2100","1","SA2","118011347","A",523
"2001","2100","1","SA2","118021348","A",1772
"2001","2100","1","SA2","118021349","A",635
"2001","2100","1","SA2","118021350","A",930
"2001","2100","1","SA2","118021351","A",969
"2001","2100","1","SA2","118021352","A",1599
"2001","2100","1","SA2","119011353","A",241
"2001","2100","1","SA2","119011354","A",453
"2001","2100","1","SA2","119011355","A",0
"2001","2100","1","SA2","119011356","A",155
"2001","2100","1","SA2","119011357","A",316
"2001","2100","1","SA2","119011358","A",437
"2001","2100","1","SA2","119011359","A",825
"2001","2100","1","SA2","119011360","A",330
"2001","2100","1","SA2","119011361","A",315
"2001","2100","1","SA2","119021362","A",239
"2001","2100","1","SA2","119021363","A",224
"2001","2100","1","SA2","119021364","A",366
"2001","2100","1","SA2","119021365","A",205
"2001","2100","1","SA2","119021366","A",182
"2001","2100","1","SA2","119021367","A",235
"2001","2100","1","SA2","119031368","A",303
"2001","2100","1","SA2","119031369","A",715
"2001","2100","1","SA2","119031370","A",265
"2001","2100","1","SA2","119031371","A",418
"2001","2100","1","SA2","119031372","A",555
"2001","2100","1","SA2","119031373","A",188
"2001","2100","1","SA2","119031374","A",554
"2001","2100","1","SA2","119041375","A",272
"2001","2100","1","SA2","119041376","A",489
"2001","2100","1","SA2","119041377","A",220
"2001","2100","1","SA2","119041378","A",217
"2001","2100","1","SA2","119041379","A",341
"2001","2100","1","SA2","119041380","A",447
"2001","2100","1","SA2","119041381","A",291
"2001","2100","1","SA2","119041382","A",536
"2001","2100","1","SA2","120011383","A",444
"2001","2100","1","SA2","120011384","A",366
"2001","2100","1","SA2","120011385","A",746
"2001","2100","1","SA2","120011386","A",637
"2001","2100","1","SA2","120021387","A",1444
"2001","2100","1","SA2","120021388","A",1390
"2001","2100","1","SA2","120021389","A",1005
"2001","2100","1","SA2","120031390","A",586
"2001","2100","1","SA2","120031391","A",420
"2001","2100","1","SA2","120031392","A",225
"2001","2100","1","SA2","120031393","A",312
"2001","2100","1","SA2","120031394","A",566
"2001","2100","1","SA2","120031395","A",483
